Code,Area,Period,Mean_Price,Median_Price
E09000008,Croydon,Year ending Mar 1997,77097.397894,65850.0
E09000009,Ealing,Year ending Mar 1997,99959.157475,81500.0
E09000010,Enfield,Year ending Mar 1997,85449.738007,72000.0
E09000011,Greenwich,Year ending Mar 1997,77945.881634,64000.0
E09000012,Hackney,Year ending Mar 1997,76834.172596,67000.0
E09000013,Hammersmith and Fulham,Year ending Mar 1997,150572.65115,123000.0
E09000014,Haringey,Year ending Mar 1997,102120.34518,73000.0
E09000015,Harrow,Year ending Mar 1997,95827.426467,83950.0
E09000016,Havering,Year ending Mar 1997,80378.042479,69000.0
E09000017,Hillingdon,Year ending Mar 1997,85749.638659,74000.0
E09000018,Hounslow,Year ending Mar 1997,92075.794361,73500.0
E09000019,Islington,Year ending Mar 1997,127843.65659,104000.0
E09000020,Kensington and Chelsea,Year ending Mar 1997,305435.63883,200000.0
E09000021,Kingston upon Thames,Year ending Mar 1997,109918.74863,88247.5
E09000022,Lambeth,Year ending Mar 1997,97525.446239,76000.0
E09000023,Lewisham,Year ending Mar 1997,64790.051491,59000.0
E09000024,Merton,Year ending Mar 1997,105152.79283,80000.0
E09000025,Newham,Year ending Mar 1997,51483.024007,51000.0
E09000026,Redbridge,Year ending Mar 1997,81599.048852,72000.0
E09000027,Richmond upon Thames,Year ending Mar 1997,152568.1258,120000.0
E09000028,Southwark,Year ending Mar 1997,89780.389801,75000.0
E09000029,Sutton,Year ending Mar 1997,81473.277488,70000.0
E09000030,Tower Hamlets,Year ending Mar 1997,94477.704705,82500.0
E09000031,Waltham Forest,Year ending Mar 1997,61106.814514,57000.0
E09000032,Wandsworth,Year ending Mar 1997,123118.47921,95000.0
E09000033,Westminster,Year ending Mar 1997,196549.60004,138000.0
E12000001,North East,Year ending Mar 1997,51692.355708,45000.0
E12000002,North West,Year ending Mar 1997,55111.750906,47000.0
E12000003,Yorkshire And The Humber,Year ending Mar 1997,55102.719744,47000.0
E12000004,East Midlands,Year ending Mar 1997,56907.026961,48000.0
E12000005,West Midlands,Year ending Mar 1997,62023.664999,52000.0
E12000006,East of England,Year ending Mar 1997,72566.933174,59500.0
E12000007,London,Year ending Mar 1997,108003.71033,79000.0
E12000008,South East,Year ending Mar 1997,87470.782636,69500.0
E12000009,South West,Year ending Mar 1997,69371.619963,58000.0
E92000001,England,Year ending Mar 1997,73705.995015,58000.0
W92000004,Wales,Year ending Mar 1997,52161.630973,45500.0
K04000001,England And Wales,Year ending Mar 1997,72773.292087,57750.0
E09000001,City of London,Year ending Jun 1997,148007.4538,130000.0
E09000002,Barking and Dagenham,Year ending Jun 1997,53081.126379,50000.0
E09000003,Barnet,Year ending Jun 1997,120431.63704,91950.0
E09000004,Bexley,Year ending Jun 1997,72937.1707,68500.0
E09000005,Brent,Year ending Jun 1997,87618.279383,76000.0
E09000006,Bromley,Year ending Jun 1997,99637.317815,82500.0
E09000007,Camden,Year ending Jun 1997,181087.83293,135000.0
E09000008,Croydon,Year ending Jun 1997,78531.026597,67000.0
E09000009,Ealing,Year ending Jun 1997,103395.53787,83500.0
E09000010,Enfield,Year ending Jun 1997,89034.265764,74000.0
E09000011,Greenwich,Year ending Jun 1997,78322.393718,64000.0
