Year,Area,Number of Individuals,Mean £,Median £
2015,South East,"4,610,000","37,900","25,200"
2015,South West,"2,720,000","30,400","22,400"
2015,,,,
2015,England,"26,100,000","34,200","23,400"
2015,Wales,"1,350,000","27,100","21,400"
2015,Scotland,"2,600,000","30,700","23,000"
2015,Northern Ireland,"725,000","27,400","21,600"
2015,,,,
2015,United Kingdom,"31,000,000","33,400","23,200"
,,,,
2016,City of London,"12,000","157,000","57,300"
2016,Barking and Dagenham,"88,000","26,700","23,300"
2016,Barnet,"180,000","48,600","28,800"
2016,Bexley,"125,000","32,300","26,100"
2016,Brent,"155,000","34,100","24,100"
2016,Bromley,"172,000","44,000","30,400"
2016,Camden,"103,000","88,000","35,500"
2016,Croydon,"186,000","33,800","25,600"
2016,Ealing,"177,000","37,300","26,100"
2016,Enfield,"144,000","34,600","25,400"
2016,Greenwich,"132,000","37,500","26,000"
2016,Hackney,"109,000","40,600","28,000"
2016,Hammersmith and Fulham,"102,000","66,600","32,300"
2016,Haringey,"138,000","39,900","25,100"
2016,Harrow,"128,000","38,400","27,300"
2016,Havering,"128,000","33,900","26,100"
2016,Hillingdon,"145,000","34,300","26,200"
2016,Hounslow,"140,000","39,900","26,100"
2016,Islington,"114,000","59,500","32,900"
2016,Kensington and Chelsea,"72,000","171,000","39,500"
2016,Kingston-upon-Thames,"86,000","44,500","30,200"
2016,Lambeth,"165,000","43,900","29,200"
2016,Lewisham,"138,000","35,900","26,700"
2016,Merton,"111,000","53,200","29,500"
2016,Newham,"134,000","28,200","22,500"
2016,Redbridge,"137,000","35,500","27,400"
2016,Richmond-upon-Thames,"103,000","67,000","36,600"
2016,Southwark,"148,000","45,400","29,400"
2016,Sutton,"103,000","35,500","27,300"
2016,Tower Hamlets,"130,000","46,600","30,500"
2016,Waltham Forest,"135,000","30,300","24,500"
2016,Wandsworth,"169,000","64,900","35,000"
2016,Westminster,"106,000","107,000","36,100"
2016,,,,
2016,North East,"1,140,000","27,600","22,100"
2016,North West,"3,280,000","29,400","22,300"
2016,Yorkshire and The Humber,"2,430,000","28,400","21,900"
2016,East Midlands,"2,210,000","29,300","22,200"
2016,West Midlands,"2,580,000","29,600","22,400"
2016,East of England,"3,030,000","34,900","24,700"
2016,London,"4,210,000","46,900","27,900"
2016,South East,"4,640,000","38,000","25,800"
2016,South West,"2,720,000","30,200","22,700"
2016,,,,
2016,England,"26,300,000","34,300","23,900"
2016,Wales,"1,380,000","27,100","21,700"
2016,Scotland,"2,600,000","30,700","23,400"
2016,Northern Ireland,"741,000","27,200","21,400"
2016,,,,
2016,United Kingdom,"31,200,000","33,500","23,600"
,,,,
2017,City of London,"11,000","148,000","60,000"
2017,Barking and Dagenham,"85,000","27,400","23,900"
2017,Barnet,"188,000","49,500","28,700"
2017,Bexley,"122,000","33,500","26,900"
2017,Brent,"155,000","35,400","24,700"
2017,Bromley,"174,000","45,500","32,000"
2017,Camden,"101,000","92,600","37,300"
2017,Croydon,"183,000","35,600","27,500"
2017,Ealing,"170,000","39,700","26,700"
2017,Enfield,"144,000","36,200","26,300"
2017,Greenwich,"124,000","40,200","27,600"
2017,Hackney,"112,000","43,100","29,400"
2017,Hammersmith and Fulham,"94,000","73,200","33,200"
2017,Haringey,"138,000","43,800","27,100"
2017,Harrow,"129,000","39,000","27,600"
2017,Havering,"130,000","35,700","27,900"
2017,Hillingdon,"142,000","35,900","27,100"
2017,Hounslow,"135,000","40,300","26,400"
2017,Islington,"106,000","62,100","33,400"
2017,Kensington and Chelsea,"68,000","177,000","40,400"
2017,Kingston-upon-Thames,"79,000","48,700","32,400"
2017,Lambeth,"162,000","45,600","29,900"
2017,Lewisham,"140,000","36,800","27,300"
2017,Merton,"111,000","54,600","30,200"
2017,Newham,"141,000","30,000","24,100"
2017,Redbridge,"136,000","37,100","28,000"
